"V1","V2"
"Branding","Attending"
"Branding","Blogging"
"Branding","Conference organising"
"Branding","Forum answerer"
"Branding","PASS roles"
"Branding","Presenting"
"Branding","Room monitoring"
"Branding","UG organising"
"Clear communication","Attending"
"Clear communication","Blogging"
"Clear communication","Conference organising"
"Clear communication","Forum answerer"
"Clear communication","PASS roles"
"Clear communication","Presenting"
"Clear communication","Room monitoring"
"Clear communication","UG organising"
"Conflict resolution","Attending"
"Conflict resolution","Blogging"
"Conflict resolution","Conference organising"
"Conflict resolution","Forum answerer"
"Conflict resolution","PASS roles"
"Conflict resolution","Presenting"
"Conflict resolution","Room monitoring"
"Conflict resolution","UG organising"
"General inter-personal skills","Attending"
"General inter-personal skills","Blogging"
"General inter-personal skills","Conference organising"
"General inter-personal skills","Forum answerer"
"General inter-personal skills","PASS roles"
"General inter-personal skills","Presenting"
"General inter-personal skills","Room monitoring"
"General inter-personal skills","UG organising"
"Leadership","Attending"
"Leadership","Blogging"
"Leadership","Conference organising"
"Leadership","Forum answerer"
"Leadership","PASS roles"
"Leadership","Presenting"
"Leadership","Room monitoring"
"Leadership","UG organising"
"Managing a budget","Attending"
"Managing a budget","Blogging"
"Managing a budget","Conference organising"
"Managing a budget","Forum answerer"
"Managing a budget","PASS roles"
"Managing a budget","Presenting"
"Managing a budget","Room monitoring"
"Managing a budget","UG organising"
"Marketing","Attending"
"Marketing","Blogging"
"Marketing","Conference organising"
"Marketing","Forum answerer"
"Marketing","PASS roles"
"Marketing","Presenting"
"Marketing","Room monitoring"
"Marketing","UG organising"
"Negotiating","Attending"
"Negotiating","Blogging"
"Negotiating","Conference organising"
"Negotiating","Forum answerer"
"Negotiating","PASS roles"
"Negotiating","Presenting"
"Negotiating","Room monitoring"
"Negotiating","UG organising"
"Networking","Attending"
"Networking","Blogging"
"Networking","Conference organising"
"Networking","Forum answerer"
"Networking","PASS roles"
"Networking","Presenting"
"Networking","Room monitoring"
"Networking","UG organising"
"Planning","Attending"
"Planning","Blogging"
"Planning","Conference organising"
"Planning","Forum answerer"
"Planning","PASS roles"
"Planning","Presenting"
"Planning","Room monitoring"
"Planning","UG organising"
"Presentation writing","Attending"
"Presentation writing","Blogging"
"Presentation writing","Conference organising"
"Presentation writing","Forum answerer"
"Presentation writing","PASS roles"
"Presentation writing","Presenting"
"Presentation writing","Room monitoring"
"Presentation writing","UG organising"
"Project management","Attending"
"Project management","Blogging"
"Project management","Conference organising"
"Project management","Forum answerer"
"Project management","PASS roles"
"Project management","Presenting"
"Project management","Room monitoring"
"Project management","UG organising"
"Public speaking","Attending"
"Public speaking","Blogging"
"Public speaking","Conference organising"
"Public speaking","Forum answerer"
"Public speaking","PASS roles"
"Public speaking","Presenting"
"Public speaking","Room monitoring"
"Public speaking","UG organising"
"Team work","Attending"
"Team work","Blogging"
"Team work","Conference organising"
"Team work","Forum answerer"
"Team work","PASS roles"
"Team work","Presenting"
"Team work","Room monitoring"
"Team work","UG organising"
"Tech knowledge (practical)","Attending"
"Tech knowledge (practical)","Blogging"
"Tech knowledge (practical)","Conference organising"
"Tech knowledge (practical)","Forum answerer"
"Tech knowledge (practical)","PASS roles"
"Tech knowledge (practical)","Presenting"
"Tech knowledge (practical)","Room monitoring"
"Tech knowledge (practical)","UG organising"
"Tech knowledge (theoretical)","Attending"
"Tech knowledge (theoretical)","Blogging"
"Tech knowledge (theoretical)","Conference organising"
"Tech knowledge (theoretical)","Forum answerer"
"Tech knowledge (theoretical)","PASS roles"
"Tech knowledge (theoretical)","Presenting"
"Tech knowledge (theoretical)","Room monitoring"
"Tech knowledge (theoretical)","UG organising"
"Time management","Attending"
"Time management","Blogging"
"Time management","Conference organising"
"Time management","Forum answerer"
"Time management","PASS roles"
"Time management","Presenting"
"Time management","Room monitoring"
"Time management","UG organising"
